TimeStamp,Humidity
12:00 AM,41.6
12:01 AM,41.5
12:02 AM,41.6
12:03 AM,41.7
12:04 AM,41.7
12:05 AM,41.7
12:06 AM,41.7
12:07 AM,41.7
12:08 AM,41.7
12:09 AM,41.7
12:10 AM,41.7
12:11 AM,41.7
12:12 AM,41.7
12:13 AM,41.7
12:14 AM,41.7
12:15 AM,41.7
12:16 AM,41.8
12:17 AM,41.8
12:18 AM,41.8
12:19 AM,41.8
12:20 AM,41.8
12:21 AM,41.7
12:22 AM,41.7
12:23 AM,41.7
12:24 AM,41.7
12:25 AM,41.7
12:26 AM,41.7
12:27 AM,41.8
12:28 AM,41.7
12:29 AM,41.7
12:30 AM,41.7
12:31 AM,41.7
12:32 AM,41.7
12:33 AM,41.6
12:34 AM,41.5
12:35 AM,41.5
12:36 AM,41.5
12:37 AM,41.4
12:38 AM,41.3
12:39 AM,41.5
12:40 AM,41.9
12:41 AM,41.9
12:42 AM,42.2
12:43 AM,42.3
12:44 AM,42.3
12:45 AM,42.3
12:46 AM,42.3
12:47 AM,42.2
12:48 AM,42.2
12:49 AM,42.1
12:50 AM,42.1
12:51 AM,42.1
12:52 AM,42.1
12:53 AM,42
12:54 AM,41.9
12:55 AM,41.9
12:56 AM,41.9
12:57 AM,41.9
12:58 AM,41.9
12:59 AM,41.8
1:00 AM,41.8
1:01 AM,41.8
1:02 AM,41.8
1:03 AM,41.8
1:04 AM,42.1
1:05 AM,41.7
1:06 AM,41.7
1:07 AM,41.8
1:08 AM,41.7
1:09 AM,41.8
1:10 AM,41.8
1:11 AM,41.7
1:12 AM,41.8
1:13 AM,41.8
1:14 AM,41.8
1:15 AM,41.7
1:16 AM,41.7
1:17 AM,41.7
1:18 AM,41.7
1:19 AM,41.7
1:20 AM,41.8
1:21 AM,41.7
1:22 AM,41.7
1:23 AM,41.7
1:24 AM,41.7
1:25 AM,41.6
1:26 AM,41.7
1:27 AM,41.7
1:28 AM,41.6
1:29 AM,41.6
1:30 AM,41.5
1:31 AM,41.5
1:32 AM,41.6
1:33 AM,41.4
1:34 AM,41.5
1:35 AM,41.5
1:36 AM,41.5
1:37 AM,41.4
1:38 AM,41.4
1:39 AM,41.4
1:40 AM,41.4
1:41 AM,41.4
1:42 AM,41.4
1:43 AM,41.4
1:44 AM,41.4
1:53 AM,41.6
1:54 AM,41.7
1:55 AM,41.7
1:56 AM,41.7
1:57 AM,41.8
1:58 AM,41.8
